order;fide_id;name;federation;gender;title;yob
147;4200446;Botsari, Anna-Maria;GRE;F;WGM;1972
148;4203593;Kouvatsou, Maria;GRE;F;WGM;1979
149;4401778;Ortiz, Nadya Karolina;COL;F;WGM;1986
150;4402618;Franco Valencia, Beatriz Irene;COL;F;WGM;1987
151;4500156;Fomina, Tatyana;EST;F;WGM;1954
152;4501993;Golubenko, Valentina;CRO;F;WGM;1990
153;4603966;Fischdick, Gisela;GER;F;WGM;1955
154;4608682;Trabert, Bettina;GER;F;WGM;1969
155;4611870;Keller-Hermann, Edith;GER;F;WGM;1921
156;4617304;Belic, Jordanka;SRB;F;WGM;1964
157;4617339;Juergens, Vera;GER;F;WGM;1969
158;4630610;Borulya, Ekaterina Uriivna;GER;F;WGM;1969
159;4636546;Schmidt, Jessica;GER;F;WGM;1979
160;4680790;Graf, Rena;GER;F;WGM;1966
161;4682920;Klink, Tamara;GER;F;WGM;1967
162;4690745;Lubbe, Melanie;GER;F;WGM;1990
163;4699360;Stock, Lara;CRO;F;WGM;1992
164;4900227;Uuriintuya, Uurtsaikh;MGL;F;WGM;1998
165;4901444;Enkhtuul, Altan-Ulzii;MGL;F;WGM;1994
166;5000629;Pratyusha, Bodda;IND;F;WGM;1997
167;5003474;Swati Ghate;IND;F;WGM;1980
168;5004373;Ramaswamy, Aarthie;IND;F;WGM;1981
169;5004381;Meenakshi Subbaraman;IND;F;WGM;1981
170;5012716;Nadig, Kruttika;IND;F;WGM;1988
171;5013623;Gomes, Mary Ann;IND;F;WGM;1989
172;5019575;Kiran, Manisha Mohanty;IND;F;WGM;1989
173;5050847;Nandhidhaa, P V;IND;F;WGM;1996
174;5055903;Srija, Seshadri;IND;F;WGM;1997
175;5091241;Varshini, V;IND;F;WGM;1998
176;5091756;Vaishali R;IND;F;WGM;2001
177;5212499;Frayna, Janelle Mae;PHI;F;WGM;1997
178;6000347;Corke, Anya S;ENG;F;WGM;1990
179;6302599;Ozturk Orenli, Kubra;TUR;F;WGM;1991
180;6302920;Yildiz Kadioglu, Betul Cemre;TUR;F;WGM;1989
181;7900970;Mezioud, Amina;ALG;F;WGM;1988
182;8600201;Zhai, Mo;CHN;F;WGM;1996
183;8600279;Liu, Shilan;CHN;F;WGM;1962
184;8600350;Qin, Kanying;CHN;F;WGM;1974
185;8600376;Ning, Chunhong;CHN;F;WGM;1968
186;8600392;Wu, Mingqian;CHN;F;WGM;1961
187;8600406;Wang, Pin;CHN;F;WGM;1974
188;8600430;Wang, Lei;CHN;F;WGM;1975
189;8601089;Xu, Yuanyuan;CHN;F;WGM;1981
190;8602417;Tian, Tian;CHN;F;WGM;1983
191;8602425;Gong, Qianyun;SGP;F;WGM;1985
192;8602611;Gu, Xiaobing;CHN;F;WGM;1985
193;8602689;Huang, Qian;CHN;F;WGM;1986
194;8602727;Ruan, Lufei;CHN;F;WGM;1987
195;8602867;Zhang, Jilin;AUS;F;WGM;1986
196;8602972;Ding, Yixin;CHN;F;WGM;1991
197;8603219;Zhang, Xiaowen;CHN;F;WGM;1989
198;8604070;Wang, Jue;CHN;F;WGM;1995
199;8605912;Li, Xueyi;CHN;F;WGM;1993
200;8606161;Xiao, Yiyi;CHN;F;WGM;1996
201;8608059;Zhu, Jiner;CHN;F;WGM;2002
202;8608466;Ni, Shiqun;CHN;F;WGM;1997
203;10605908;Mona, Khaled;EGY;F;WGM;1994
204;10609962;Wafa, Shahenda;EGY;F;WGM;1998
205;10609970;Wafa, Shrook;EGY;F;WGM;1997
206;11300248;Sabure, Tuduetso;BOT;F;WGM;1982
207;11600209;Safranska, Anda;FRA;F;WGM;1960
208;11600241;Erneste, Inguna;LAT;F;WGM;1966
209;11601124;Reizniece-Ozola, Dana;LAT;F;WGM;1981
210;11601345;Berzina, Ilze;LAT;F;WGM;1984
211;11601876;Rogule, Laura;LAT;F;WGM;1988
212;11602589;Vilerte, Tamara;LAT;F;WGM;1954
213;12400300;Nguyen, Thi Thanh An;VIE;F;WGM;1976
214;12401005;Le, Thanh Tu;VIE;F;WGM;1985
215;12401102;Hoang, Thi Bao Tram;VIE;F;WGM;1987
216;12401676;Nguyen, Thi Mai Hung;VIE;F;WGM;1994
217;12401838;Vo, Thi Kim Phung;VIE;F;WGM;1993
218;12500666;Paridar, Shadi;IRI;F;WGM;1986
219;12502014;Pourkashiyan, Atousa;IRI;F;WGM;1988
220;12505951;Hejazipour, Mitra;IRI;F;WGM;1993
221;12506540;Hakimifard, Ghazal;SUI;F;WGM;1994
222;12900460;Heinemann, Josefine;GER;F;WGM;1998
223;13300270;Gevorgyan, Maria;ARM;F;WGM;1994
224;13300610;Movsisyan, Naira;ARM;F;WGM;1977
225;13300628;Aginian, Nelly;ARM;F;WGM;1981
226;13301918;Abrahamyan, Tatev;USA;F;WGM;1988
227;13308130;Sargsyan, Anna M.;ARM;F;WGM;2001
228;13400010;Sofieva, Ainur;AZE;F;WGM;1970
229;13400029;Velikhanli, Firuza;AZE;F;WGM;1970
230;13400045;Kadimova, Ilaha;AZE;F;WGM;1975
231;13401491;Hojjatova, Aydan;AZE;F;WGM;1999
232;13401521;Mamedjarova, Zeinab;AZE;F;WGM;1983
233;13401807;Abdulla, Khayala;AZE;F;WGM;1993
234;13402005;Mamedjarova, Turkan;AZE;F;WGM;1989
235;13402137;Umudova, Nargiz;AZE;F;WGM;1989
236;13402625;Khalafova, Narmin;AZE;F;WGM;1994
237;13402951;Kazimova, Narmin;AZE;F;WGM;1993
238;13403052;Fataliyeva, Ulviyya;AZE;F;WGM;1996
239;13406396;Balajayeva, Khanim;AZE;F;WGM;2001
240;13500201;Lagvilava, Genrieta;BLR;F;WGM;1969
241;13500210;Eidelson, Rakhil;BLR;F;WGM;1958
242;13502336;Herasimovich, Volha;BLR;F;WGM;1985
243;13502875;Romanova, Inna;BLR;F;WGM;1975
244;13503189;Sharevich, Anna;USA;F;WGM;1985
245;13600230;Alexandria, Nana;GEO;F;WGM;1949
246;13600419;Khurtsilava, Inga;GEO;F;WGM;1975
247;13600508;Darchia, Diana;GEO;F;WGM;1977
248;13600737;Tqeshelashvili, Sopio;GEO;F;WGM;1979
249;13600788;Edzgveradze, Natalia;GEO;F;WGM;1975
250;13601431;Charkhalashvili, Inga;GEO;F;WGM;1983
251;13601717;Maisuradze, Nino;FRA;F;WGM;1982
252;13602470;Tsereteli, Tamar;GEO;F;WGM;1985
253;13603108;Mikadze, Miranda;GEO;F;WGM;1989
254;13603191;Khomeriki, Nino;GEO;F;WGM;1998
255;13603434;Tsatsalashvili, Keti;GEO;F;WGM;1992
256;13700081;Khasanova, Flyura;KAZ;F;WGM;1964
257;13701037;Sergeyeva, Mariya;KAZ;F;WGM;1983
258;13702114;Ankudinova, Yelena;KAZ;F;WGM;1962
259;13702122;Duisenova, Madina;KAZ;F;WGM;1983
260;13702971;Dauletova, Gulmira;KAZ;F;WGM;1988
261;13703595;Davletbayeva, Madina;KAZ;F;WGM;1989
262;13900102;Sheremetieva, Marina;MDA;F;WGM;1963
263;13900129;Agababean, Naira;MDA;F;WGM;1951
264;13900285;Wagener, Anna;LUX;F;WGM;1976
265;13900382;Smokina, Karolina;MDA;F;WGM;1977
266;13901001;Partac, Elena;MDA;F;WGM;1984
267;14000059;Geldiyeva, Mahri;TKM;F;WGM;1973
268;14100380;Litynska, Marta;UKR;F;WGM;1949
269;14100460;Semenova, Lidia K;UKR;F;WGM;1951
270;14101530;Lymar, Irina;UKR;F;WGM;1974
271;14101807;Fomichenko, Svetlana;RUS;F;WGM;1976
272;14102145;Melamed, Tatjana;GER;F;WGM;1974
273;14102412;Sarana-Hungeling, Oksana;GER;F;WGM;1979
274;14102757;Straub, Natalia;GER;F;WGM;1978
275;14103729;Redko, Alyona;UKR;F;WGM;1983
276;14105071;Karlovich, Anastazia;UKR;F;WGM;1982
277;14105551;Cherednichenko, Svetlana;UKR;F;WGM;1984
278;14105870;Dolzhikova, Olga;NOR;F;WGM;1979
279;14107244;Arutyunova, Diana;UKR;F;WGM;1988
280;14107449;Dornbusch, Tatiana;MNC;F;WGM;1982
281;14107503;Rohonyan, Katerina;USA;F;WGM;1984
282;14108917;Kryvoruchko, Vita;UKR;F;WGM;1988
283;14109190;Hrabinska, Myroslava;UKR;F;WGM;1984
284;14109395;Struchkova, Svetlana;UKR;F;WGM;1963
285;14109794;Areshchenko, Kateryna;UKR;F;WGM;1985
286;14109956;Zdebskaja, Natalia;UKR;F;WGM;1986
287;14110563;Vovk, Anastasiia;UKR;F;WGM;1985
288;14110571;Vozovic, Oksana;UKR;F;WGM;1985
289;14112035;Doluhanova, Evgeniya;UKR;F;WGM;1984
290;14116553;Huda, Maryana;UKR;F;WGM;1988
291;14117258;Babiy, Olga;UKR;F;WGM;1989
292;14117665;Malakhova, Elizaveta;UKR;F;WGM;1993
293;14200627;Krjuchkova, Elena;UZB;F;WGM;1969
