order; fide_id; name; federation; gender; title; yob
159;2101840;Azevedo, Kelsen Rosas;BRA;M;;1952
160;2101858;Okamura, Milton Kasuo;BRA;M;;1955
161;2101866;Souza, Wellington;BRA;M;;1961
162;2101890;Barreto, Ignacio C. de Barros;BRA;M;;1956
163;2101912;Costa, Paulo Cesar;BRA;M;;1967
164;2101920;Gomes, Fabio Augusto;BRA;M;;1981
165;2101947;Leal, Paulo Donizete;BRA;M;;1983
166;2101955;Leao, Thales Braghini;BRA;M;;1985
167;2101963;Dias, Anderson Tatsch;BRA;M;;1974
168;2101971;Leite, Tarcisio Dantas Frota;BRA;M;;1965
169;2101980;Lopes, Edson;BRA;M;;1942
170;2101998;Machado, Felipe Julio;BRA;M;;1988
171;2102005;Sant Anna, Fernando C. Santos.;BRA;M;;1959
172;2102048;Sales, Fernando Sergio Tavares;BRA;M;;1973
173;2102056;Mendonca, Juliano Simao;BRA;M;;1977
174;2102064;Leal, Paulo Tarcisio Garcia;BRA;M;;1950
175;2102072;Caldeira, Adriano;BRA;M;FM;1971
176;2102099;Novaes, Fabio Lopes;BRA;M;;1967
177;2102102;Cukier, Marcelo;BRA;M;;1976
178;2102110;Gutierrez, Angel Huanca;BRA;M;FM;1952
179;2102129;Moura, Eduardo Eugenio Chaves;BRA;M;;1968
180;2102145;Frare, Fernando Cesar;BRA;M;;1975
181;2102153;Sady, Joao Jose;BRA;M;;1949
182;2102161;Delgado, Lidio Dias;BRA;M;FM;1960
183;2102188;De Souza Haro, Paulo Cezar;BRA;M;FM;1950
184;2102196;Faria, Cassio Henrique D. de;BRA;M;;1976
185;2102218;Fernandes Jr., Jose Costa;BRA;M;FM;1956
186;2102226;Chaves, Jorge Antonio Torres;BRA;M;;1963
187;2102234;Rios Fo., Hilton Carlos da Silva;BRA;M;FM;1960
188;2102242;Pucci, Cassio Roberto;BRA;M;;1967
189;2102250;Silver, Albert Winston;BRA;M;;1970
190;2102269;Pinto, Pedro Jorge de Moraes;BRA;M;;1958
191;2102277;Martins, George Evandro Barreto;BRA;M;FM;1974
192;2102285;De Souza, Carlos Henrique;BRA;M;;1964
193;2102293;Moro, Fabio;BRA;M;;1976
194;2102307;Macedo, Maximo Valerio;BRA;M;FM;1953
195;2102315;Frota Junior, Gerardo Pinto da;BRA;M;;1949
196;2102323;Ramos, Mike Nelson;BRA;M;;1976
197;2102340;Rodrigues, Paulo Fernando Lima;BRA;M;;1982
198;2102358;Rogani, Bruno;BRA;M;;1989
